oa11,Final_Rurality,FundingStreamEligibilty
E00000242,Urban,UCEF
E00000243,Urban,UCEF
E00000244,Urban,UCEF
E00000245,Urban,UCEF
E00000246,Urban,UCEF
E00000247,Urban,UCEF
E00000248,Urban,UCEF
E00000249,Urban,UCEF
E00000250,Urban,UCEF
E00000251,Urban,UCEF
E00000252,Urban,UCEF
E00000253,Urban,UCEF
E00000254,Urban,UCEF
E00000255,Urban,UCEF
E00000256,Urban,UCEF
E00000257,Urban,UCEF
E00000258,Urban,UCEF
E00000259,Urban,UCEF
E00000260,Urban,UCEF
E00000261,Urban,UCEF
E00000263,Urban,UCEF
E00000264,Urban,UCEF
E00000265,Urban,UCEF
E00000266,Urban,UCEF
E00000267,Urban,UCEF
E00000268,Urban,UCEF
E00000269,Urban,UCEF
E00000270,Urban,UCEF
E00000271,Urban,UCEF
E00000272,Urban,UCEF
E00000273,Urban,UCEF
E00000274,Urban,UCEF
E00000275,Urban,UCEF
E00000276,Urban,UCEF
E00000277,Urban,UCEF
E00000278,Urban,UCEF
E00000279,Urban,UCEF
E00000280,Urban,UCEF
E00000282,Urban,UCEF
E00000283,Urban,UCEF
E00000284,Urban,UCEF
E00000285,Urban,UCEF
E00000286,Urban,UCEF
E00000287,Urban,UCEF
E00000288,Urban,UCEF
E00000289,Urban,UCEF
E00000290,Urban,UCEF
E00000291,Urban,UCEF
E00000292,Urban,UCEF
E00000293,Urban,UCEF
E00000294,Urban,UCEF
E00000295,Urban,UCEF
E00000296,Urban,UCEF
E00000297,Urban,UCEF
E00000298,Urban,UCEF
E00000299,Urban,UCEF
E00000300,Urban,UCEF
E00000301,Urban,UCEF
E00000302,Urban,UCEF
E00000303,Urban,UCEF
E00000304,Urban,UCEF
E00000305,Urban,UCEF
E00000306,Urban,UCEF
E00000307,Urban,UCEF
E00000308,Urban,UCEF
E00000309,Urban,UCEF
E00000310,Urban,UCEF
E00000311,Urban,UCEF
E00000312,Urban,UCEF
E00000313,Urban,UCEF
E00000314,Urban,UCEF
E00000315,Urban,UCEF
E00000316,Urban,UCEF
E00000317,Urban,UCEF
E00000318,Urban,UCEF
E00000319,Urban,UCEF
E00000320,Urban,UCEF
E00000321,Urban,UCEF
E00000322,Urban,UCEF
E00000323,Urban,UCEF
E00000324,Urban,UCEF
E00000325,Urban,UCEF
E00000326,Urban,UCEF
